reviews,price,drink,dessert,service,customers,interior,view,parking,etc,trash
커피도 맛있고 빙수도 맛있어요,,1,1,,,,,,,
빙수도 푸딩도 너무 너무 맛있었습니당,,,1,,,,,,,
가족과 함께 조용히 대화하기 좋아요.,,,,,,,,,,1
아이가 너무 좋아하네요,,,,,,,,,,1
음료랑 푸딩 다 맛있어요,,1,1,,,,,,,
집 근처에 마음에 드는 장소 발견했네요,,,,,,,,,,1
카페 분위기도 너무 좋고 사장님께서도 친절하시고 빙수들도 너무 맛있어요,,,1,1,,1,,,,
다음 여행 때 또 방문하겠습니다,,,,,,,,,,1
제주 올 때마다 공항 가기 전 마지막으로 들리는 곳이에요.,,,,,,,,,,1
애플 망고 빙수가 진짜 맛있어서 항상 먹었는데 시즌 종료로 그냥 빙수랑 망고 주스 먹었는데 이마저도 꿀맛,,1,1,,,,,,,
공항 근처니 렌트카 반납 전 꼭 와서 먹는 걸 추천!,,,,,,,,,,1
애견 동반도 된다구요 사장님이 친절하시고 빙수 맛집이에요,,,1,1,,,,,1,
빙수 비쥬얼 넘 기엽쥬!,,,1,,,,,,,
맛은 말모말모 공항 근처라 비행기 시간 애매하실 때 오시면 좋을 거 같아요!!,,,,,,,,,,1
생 애플 망고 시즌 지나서 애플망고소르베빙수먹었는데 완전 맛나요!!!!,,,1,,,,,,,
생 애플 망고 시즌 때 또 와야겠어요!!!,,,1,,,,,,,
강추 완추 합니다,,,,,,,,,,1
아,,,,,,,,,,1
공항 가기 전 애플 망고 먹고 싶어서 검색해서 와 봤는데 주차장도 편하고 무엇보다 매장이 쾌적하니 편하고 좋았어요 9월 말까지만 생 애플 망고 빙수 시즌이라 맛보지 못한 것이 아쉽지만 내년을 기약하며 추천해 주신 레드 키위 빙수 맛나게 먹었습니다.,,,1,,,1,,1,,
7살 딸들도 애플 망고 아이스크림과 주스를 맛있게 잘 먹네요,,,1,,,,,,,
공항 근천 애플 망고 맛집 추천해요,,,1,,,,,,,
사장님이 친절하고 커피도 맛있어요,,1,,1,,,,,,
생 애플 망고 빙수 시즌 아웃이라 애플망고소르베빙수 먹었는데 이것도 넘나 맛있어요,,,1,,,,,,,
애플 망고도 사고 싶었는데 시즌 아웃이라고..,,,1,,,,,,,
공항 근처에 있는 곳인데 너무 예쁘고 너무 맛있어여,,,,,,,1,,,
완전 맛있어요,,,,,,,,,,1
추천,,,,,,,,,,1
음료 맛 나고 너무 너무 친절하십니다,,1,,,,,,,,
감사합니다,,,,,,,,,,1
생망고 시즌이 아니 여서 냉동 망고였는데도 맛있었어요!,,,1,,,,,,,
얼음도 우유 얼음이여서 더 잘 어울렸어용!,,1,,,,,,,,
생 망 빙 먹으려고 왔어요,,,1,,,,,,,
1 인 1 메뉴라 알리오 올리오 아메리카노 주문했어요,,1,,,,,,,,
생 망 빙 깔끔 맛있고 알리오 올리 오는 아이들이 순 삭 해서 맛도 못 봤어요,,,1,,,,,,,
커피도 맛있고 참 조용해서 좋아요,,1,,,,1,,,,
애망빙 시즌 아웃이라 아쉬웠지만 분위기도 조용하고 밀크 빙수도 맛있었어요!,,,1,,,1,,,,
멜론 빙수랑 생 애플 망고 빙수 먹었어요,,,1,,,,,,,
5명 함께 먹으려고 큰 사이즈 두 개 시켰는데 날씨가 쌀쌀해져서 그런지 양이 많게 느껴지더라구요!,,,1,,,,,,,
무엇 보다 생 애플 망고 빙수가 너무 맛있었어요,,,1,,,,,,,
소원 성취,,,,,,,,,,1
저는 멜론 빙수보다 애플 망고가 훨씬 맛있었어요,,,1,,,,,,,
다음에도 5명 가면 애플 망고 2개 시키려구요!,,,1,,,,,,,
마지막 망고를 맛볼 수 있는 기회를 준 카페,,,1,,,,,,,
망고 빙수 드실 분들은 빨리오세유,,,1,,,,,,,
애플 망고 빙수가 맛있어용!!!!,,,1,,,,,,,
제주 생 애플 망고 먹을 수 있는 곳.,,,1,,,,,,,
주차하기 편하고 공항하고 가까워 여행 마지막 날 빙수 먹고 가기 좋아요,,,,,,,1,1,,
깔끔하고 예쁜 인테리어 그리고 망고 빙수 꼭 드세요,,,1,,,1,,,,
망고 빙수 꼭 드세요,,,1,,,,,,,
위의 망고 맛 아이스크림도 맛있고 망고도 달고 맛있어요,,,1,,,,,,,
제주 하면 애플 망고 아니게뜸미까?!,,,1,,,,,,,
거기다 생 애플망고라늬 냉동이랑 차원이 달라요 입에서 살살 녹고 당도도 적당해요!,,,1,,,,,,,
시럽이랑 위에 아이스크림도 망고 맛 낭 낭해서 빙수를 완성시켜쥬네욥!,,,1,,,,,,,
망고도 많이 올라가 있어서 배불러욥!,,,1,,,,,,,
존 맛 강츄!!,,,,,,,,,,1
사장님 너무 너무 너무 친절하시고 빙수 너무 맛있어요,,,1,1,,,,,,
할머니 할아버지 모시고 가서 저희가 요청 사항도 많았는데 다 배려해 주시고 잘 해 주셔서 감사했습니다,,,,1,,,,,,
덕분에 맛있는 거 먹으면서 즐거운 시간 보냈어요,,,1,,,,,,,1
망고가 달고 맛있어요!,,,1,,,,,,,
맛나요!!,,,,,,,,,,1
양도 많고 우도 땅콩 아이스크림 먹으러 우도까지 안 가도 돼요,,,,,,,,,,1
맨날 가고 싶었는데 이제야 와 보네요,,,,,,,,,,1
애플 망고 빙수 너무 맛있습니다,,,1,,,,,,,
리뷰에 망고 사진이 많은 데에는 이유가 있네요,,,1,,,,,,,
주차장도 있어서 맘에 듭니다,,,,,,,,1,,
애플 망고에 망고 아이스크림에 망고 연유까지 맛이 없을 수가 있나요!!!,,,1,,,,,,,
우유 얼음만 먹어 봐도 맛있었어요,,,1,,,,,,,
천혜 향 쥬스도 목에 걸리는 것 없이 맛있네요,,1,,,,,,,,
테이블 간격도 넓고 시끄럽지 않고 망고 빙수도 너무 맛있어요,,,1,,,1,,,,
애망빙 한 입,,,1,,,,,,,
애플 망고 빙수 먹으러 일부러 찾아왔는 데 분위기도 좋고 친절하시고 빙수는 당연히 맛있어요!!!,,,1,1,,1,,,,
합리적인 가격에 맛있는 빙수를 맛 봤습니다!!,,,1,,,,,,,
망고가 달달하고 부드러워요,,,1,,,,,,,
메론 빙수도 달콤,,,1,,,,,,,
매장이 넓고 조용해서 좋아요,,,,,,1,,,,
애플 망고 요거트 스무디 맛나요,,,1,,,,,,,
가성비 좋은 애망빙 집이 있다고 해서 찾아왔는데 왜인걸 존맛탱이네요!,,,1,,,,,,,
올려진 과일도 맛있지만 빙수까지 달달 구리하고 맛있는 집은 처음이에요!,,,1,,,,,,,
강추 합니당.,,,,,,,,,,1
제주 생 애플 망고 빙수를 좋은 가격에 먹을 수 있어서 좋네요.,,,1,,,,,,,
근처 고기국수 먹고 후식으로 먹기 좋네요,,,,,,,,,,1
맛있는 마아앙빙,,,1,,,,,,,
제주 망고 빙수 맛집 착즙쥬스도 너무 맛 잇는 집,,,1,,,,,,,
한적하게 주차하기도 편하고 매장은 향기롭고 쾌적해요.,,,,,,1,,1,,
친절한 직원 분들 덕에 매장 분위기도 좋고 애플 망고 빙수 최고였어요,,,1,1,,,,,,
망고 빙수 맛집이에용,,,1,,,,,,,
짱짱이에용,,,,,,,,,,1
애플 망고 빙수가 먹고 싶어서 방문했는 데 기대했던 것보다 더 맛있어요,,,1,,,,,,,
냉동이 아니라 생 과일이라 더 맛있어요,,,1,,,,,,,
제주도 다시 오면 또 들리고 싶네요,,,,,,,,,,1
헐 완전 맛있어요,,,,,,,,,,1
우연하게 알게 돼 들어갔는 데 애플 망고가 너무 맜있어 반했어요,,,1,,,,,,,
가격은 조금 있지만 망고가 정말 달고 우유 빙수가 너무 맛있었어요.,1,,1,,,,,,,
진짜 망고가 다른 시럽 같은 것이 없는 데도 너무 달달해서 입에서 녹아서 좋아요!,,,1,,,,,,,
애플 망고 빙수 우도 아이스크림 짱 맛있어요,,,1,,,,,,,
주차도 편하고 조용하고 분위기도 좋은 카페입니다,,,,,,1,,1,,
여기 망고 빙수가 유명하다고 소문이 나서 먹으러 왔어요!,,,1,,,,,,,
공항에서도 가깝고 와서 보니 인테리어도 이쁘고 망고 빙수 진짜 맛있네요!!,,,1,,,1,,,,
1 인분 시켰으면 좀 아쉬웠을 것 같아 요 다음에 또 올게요,,,,,,,,,,1
존맛탱이네요,,,,,,,,,,1
비주얼도 너무 좋고 맛있게 잘 먹었습니다,,,,,,,,,,1
생 애플 망고 빙수가 정말 맛있는 곳이에요!,,,1,,,,,,,
다들 망고 빙수 먹고 싶으면 꼭꼭 여기로 오세요!,,,1,,,,,,,
빙수 맛집!,,,1,,,,,,,
애플 망고가 정말 맛있어요,,,1,,,,,,,
애플 망고 빙수 입에서 녹아요,,,1,,,,,,,
서울 호텔 망고 빙수보다 더 맛있어요,,,1,,,,,,,
애플 망고 빙수 존맛탱 이예요!!,,,1,,,,,,,
제주 생 애플 망고 빙수는 필수 주문!!,,,1,,,,,,,
애플 망고 수북하게 쌓여 있는 빙수 최고입니다...,,,1,,,,,,,
과일이 적당히 익어서 딱딱하지 않고 맛있어요,,,1,,,,,,,
맛도 있고 분위기도 좋고 접근성도 좋고 매장도 깨끗하고 좋아요,,,1,,,1,1,,,
공항이랑 가깝고 주차도 편하고 무엇보다 망고 빙수가 너무너무 맛있어용,,,1,,,,1,1,,
주차하기도 좋고 실내도 갈끔해요,,,,,,1,,1,,
애플 망고 빙수 넘 맛있어요!,,,1,,,,,,,
천상의 맛,,,,,,,,,,1
아젠토피오레뒤편 커피숍 주차공간 넉넉 11시 이전에 브런치 주문 시 무료,,,,,,,,1,,
며칠 전 배달 시켜 먹어 보고 맛있어서 거리가 멀지만 매장에도 방문해 본 결과 오길 잘한 거 같아요,,,,,,,,,,1
매장도 깨끗하고 직원분도 친절하시고 무엇보다 깔끔하니 맛있어요.,,,1,1,,1,,,,
너무 달아서 물리지가 않아요,,,,,,,,,,1
조금 가격대가 있지만 애플 망고 빙수 팔 때까지는 종종 먹을 듯 해요,1,,1,,,,,,,
망고 빙수 너뮤 맛있어요!!,,,1,,,,,,,
직원 분들도 너무 친절하시고 잘 쉬다 갑니다,,,,1,,,,,,
망고 빙수 맛있어요,,,1,,,,,,,
이렇게 저렴하게 애플 망고 빙수를 먹을 수 있는 곳이 있다뇨,,,1,,,,,,,
제주도 여행에 필수입니당,,,,,,,,,,1
위치도 좋고 친절해요,,,,1,,,1,,,
카페가 너무 조용하고 넓어서 잘 쉬다가 용,,,,,,1,,,,
빙수도 맛있구 커피 맛도 좋네요,,1,1,,,,,,,
흑돼지필라프 크림 파스타가 너무 맛있어욥,,,1,,,,,,,
서비스 센터에 차 맡기고 걷다가 찾은 카페인데 성공적이였어요,,,,,,,,,,1
두 번 세 번 추천합니둥,,,,,,,,,,1
망고 주스가 먹고 싶어서 찾아왔는 데 아주 잘 찾아온 듯 싶습니다,,1,,,,,,,,
진하고 너무 맛있어요,,,,,,,,,,1
애플 망고 토스트도 애플 망고 잼이랑 너무 잘 어울려서 맛있어요,,,1,,,,,,,
애플 망고 빙수가 유명해서 와 봤어요 인테리어가 이국적이 여서 좋네영,,,1,,,,,,,
애플 망고 빙수의 인생 샷이라서 수정합니당,,,1,,,,,,,
망고 달달해서 너무 맛있어요,,,1,,,,,,,
애플 망고 빙수 너무 맛있어요,,,1,,,,,,,
한적해서 제대로 힐하고 갑니당,,,,,,,,,,1
망고가 스르르 르 녹아용,,,1,,,,,,,
망고 양도 많고 맛있어요!!!!,,,1,,,,,,,
망고 빙수가 너무 먹고 싶어서 찾아왔는데 정말 너무 맛있어요,,,1,,,,,,,
달달하고 위에 있는 망고 아이스크림도 달달하니 너무 맛있습니다,,,1,,,,,,,
꼭 드세요!!,,,,,,,,,,1
공항 근처라 집에 가기 전 망고가 먹고 싶어 들렀는 데 1 인 빙수가 있어 다양하게 맛볼 수 있다는 점이 좋은 것 같고,,,1,,,,1,,,
매장이 쾌적해요,,,,,,1,,,,
잘 먹고 갑니다,,,,,,,,,,1
망 빙 너무 맛있어요,,,1,,,,,,,
생 과일 주스도 강추 해요!!!,,1,,,,,,,,
생망고인데 가격도 저렴해서 맘에 드네요,1,,1,,,,,,,
신라호텔 망 빙 보다 더 맛납니다,,,1,,,,,,,
애플 망고 빙수가 맛있어서 두 번 왔네요.,,,1,,,,,,,
망고 빙수 가격이 저렴해요,1,,,,,,,,,
제주공항이랑 가까워요,,,,,,,1,,,
애플 망고 빙수 넘 맛있어요,,,1,,,,,,,
안에 우유 얼음 위에 아이스크림도..맛있어서 끝까지 먹게 돼요,,,1,,,,,,,
다시 오고 싶은 곳!!,,,,,,,,,,1
신라호텔 빙수 뺨치게 맛있네요,,,,,,,,,,1
망고 신맛 하나도 없고 달달하고,,,1,,,,,,,
우유 얼음이 진짜 맛있 움,,,1,,,,,,,
생각보다 더 맛있었어요,,,,,,,,,,1
망고 빙수 진짜 맛있어요.,,,1,,,,,,,
천상계의 맛이에요.,,,,,,,,,,1
너무 맛있어서 한 달 만에 두 번째 방문입니다.,,,,,,,,,,1
애플 망고인데 이 정도 가격이면 저렴하게 먹었다고 생각하고 제주 올 때마다 방문할 예정입니다.,1,,1,,,,,,,
두 번째 방문입니다!,,,,,,,,,,1
애플 망고는 여기죠,,,1,,,,,,,
엄지 척,,,,,,,,,,1
저번에 오고 너무 맛나서 두 번째 왔어요,,,,,,,,,,1
역시나 맛나게 먹고 갑니다,,,,,,,,,,1
조용하고 커피 맛 나고 가격도 합리적,1,1,,,,1,,,,
생 애플 망고 빙수 너무 달콤하고 맛있어요,,,1,,,,,,,
망고 달달 커피도 꼬소하니 맛있어요,,1,,,,,,,,
망고 빙수가 정말 맛있습니다.,,,1,,,,,,,
얼음이 우유 얼음인데 달달하고 맛있고 망고도 정말 맛있어요.,,,1,,,,,,,
가게 분위기도 예뻐요.,,,,,,1,,,,
인테리어가 정말 예쁘고 깔끔해요!,,,,,,1,,,,
커피도 맛있고 망고 빙수도 좋았습니당,,1,1,,,,,,,
망고 빙수 맛있게 먹고 가요,,,1,,,,,,,
몇 년 만에 다시 방문했는 데 망고 빙수 여전히 맛있네요,,,1,,,,,,,
매장도 깨끗하고 직원 분들도 친절하세요 제주도 필수 코스가 될 것 같아요,,,,1,,1,,,,
빙수 너무 맛있어요,,,1,,,,,,,
애플 망고 빙수 처음 먹어 보는 데 진짜 왜 다들 애플 망고 애플 망고 하는지 알겠네요,,,1,,,,,,,
두툼한 망고가 잔뜩 올려져 있고 안에 우유 얼음도 너무 맛있어요!,,,1,,,,,,,
애플 망고 우도 땅콩 구좌 당근 모두 즐길 수 있어요 ,,,1,,,,,,,
감자 스프 우도 땅콩 토스트 애플 망고 빙수를 먹었는 데 제주를 느낄 수 있는 특별한 맛이었어요.,,,1,,,,,,,
강추 합니다.,,,,,,,,,,1
오전 11시 전에는 토스트와 스프를 주문하면 아메리카노를 서비스로 주네요.,,,1,1,,,,,,
생망고 빙수 너무 맛있어요,,,1,,,,,,,
공항 가기 전 망고 빙수 먹으러 들렸어요,,,,,,,1,,,
기대가 되네요,,,,,,,,,,1
애플 망고 빙수 너무 맛있어요,,,1,,,,,,,
조용하고 인테리어도 예쁘고 친절하십니다,,,,1,,1,,,,
망고 빙수 최고,,,1,,,,,,,
아니 정말 망고 빙수 넘 맛있어요,,,1,,,,,,,
무조건 큰 사이즈로 시키세요,,,,,,,,,,1
저랑 남편이랑 망고를 그닥 좋아하지 않았는데… 여기 망고 빙수는 너무 맛있어요,,,1,,,,,,,
망고 빙수는 호텔 망고 빙수가 유명하긴한데 가격도 가격이고 여기서 가성비 좋은 맛있는 망고 빙수를 먹을 수 있어 좋았어요,1,,1,,,,,,,
다음에 제주도 또 오면 재방문 의사 있습니다!,,,,,,,,,,1
애플 망고 빙수 1 인분 멜론 빙수 1 인분 매장에서 먹었어요!,,,1,,,,,,,
양도 1인분치고 많은 편이에요.,,,1,,,,,,,
둘 다 정말 맛있어요.,,,,,,,,,,1
특히 애플 망고 빙수에 들어간 과일이 달달하고 입 안에서 부드럽게 녹아요!,,,1,,,,,,,
과일만 따로 먹어 보고 우유 빙수와도 먹고 아이스크림과도 먹으면서 따로 즐기는 재미가 있어요!,,,1,,,,,,,
메론 빙수도 고급 지고 부드러운 맛이에요,,,1,,,,,,,
두 개 시키니 질리지도 않고 딱이었어요!,,,,,,,,,,1
주차는 6 대 가능해요 주중 낮에 와서 그런지 복잡하지 않고 여유로웠어요.,,,,,,,,1,,
매장 분위기 좋아요,,,,,,1,,,,
#먹크슬냥 #애플망그빙수 #제주궁앙근처카페 #제주카페 #제주맛집 #제주카폐추천 #애망빙 #제주빙수맛집 #제주파스타맛집 #브런치카페,,,,,,,,,,1
망고 빙수가 입에서 녹아 1초 만에 사라져요,,,1,,,,,,,
너무 맛있어요!!,,,,,,,,,,1
분위기도 짱!!,,,,,,1,,,,
공항 근처라 시간 보내기에도 좋고 음식이 깔끔하고 좋네요,,,1,,,,1,,,
제주와서 도착하자마자 한 번 그리고 떠날 때 한 번 먹고 가요,,,,,,,,,,1
1 인분 빙수도 팔아서 인기가 좋은 것 같아요,,,1,,,,,,,
저번 제주 왔을 때 배달로 먹고 맛있어서 또 찾아왔어요!,,,,,,,,,,1
공항 근처라 딱 먹고 공항 가기 좋네요,,,,,,,1,,,
찐 애플 망고와 천혜 향 주스가 너무 인상적이였어요 주차하기도 너무 편리하고 좋 습니다!,,1,1,,,,,1,,
망고 빙수 짱이에요,,,1,,,,,,,
인테리어도 깔끔하고 주차도 좋아요,,,,,,1,,1,,
기대하고 왔는데 역시 맛있네요,,,,,,,,,,1
커피도 맛있어요,,1,,,,,,,,
베이글이랑 크림 종류가 다양해서 너무 좋아요,,,1,,,,,,,
시오베이글 강추 합니당,,,1,,,,,,,
처음 갔는 데 다 맛보고 싶어서 다양하게 시켰는 데도 친절하게 응대해 주셔서 잘 먹고 갑니당!,,,,1,,,,,,
아메리카노와 궁합 최고 무화과 베이글에 블루베리 크림치즈 맛있어요,,1,1,,,,,,,
베이글은 여기가 찐이에요!!,,,1,,,,,,,
제주 베이글 성지 순례 왔어요,,,1,,,,,,,
무조건 드셔 보셔야합니다..,,,,,,,,,,1
잠 봉도 최고,,,1,,,,,,,
베이글 정말 맛있어요!,,,1,,,,,,,
쫄깃하고 미쳤…!,,,,,,,,,,1
크림치즈도 맛있구 샌드위치도 굿 굿 또 올래요,,,1,,,,,,,
카페 패스 통해서 아메리카노 먹으러 왔는데 이런 베이글 맛집을 발견하다니 너무 맛있어요!!!,,,1,,,,,,,
첫날은 베이글이 다 나가서 두 번째 방문했는데 다행히 오전에는 먹고 싶은 걸 먹었어요.,,,,,,,,,,1
여기 있는 거 다 먹어 보고 싶어요,,,,,,,,,,1
직원 분들도 친절해서 좋아요,,,,1,,,,,,
10번 넘게 와 씀 풍자 언니의 또 간 집이 온다면 난 여기로 추천할 꺼임 열심히 노력하시고,,,,,,,,,,1
니즈를 반영 잘 해 주심.,,,,1,,,,,,
9시로. 영업시간 바꿔 주셨는데. 사랑합니다,,,,,,,,,1,
베이글 맛집이라고 듣고 아침 일찍 준비해서 방문했습니다.,,,1,,,,,,,
빵 냄새가 너무 좋아요,,,,,,,,,,1
제주도 여행으로 왔다가 맛집이라고 해서 아침으로 먹을 겸 포장하러 왔어요!!,,,,,,,,,,1
너무 기대됩니다!!,,,,,,,,,,1
베이슬 보송보롱 너무 맛있어요,,,1,,,,,,,
아직 먹기 전이지만 넘 기대되고 매장이 귀여워요,,,,,,1,,,,
베이글 전부 맛있게 생겨서 고르기 힘들었어요!,,,1,,,,,,,
먹고 포장까지 잔뜩 해 갑니다,,,,,,,,,,1
베이글이 모두 다 맛있어요,,,1,,,,,,,
와 제가 지금까지 먹었던 것은 베이글이 아니네요,,,1,,,,,,,
정말 블루베리 크림치즈 베이글 완전 대 강 추하구 안 먹은 사람 없게 해 주세요,,,1,,,,,,,
매장도 깨끗하고 친절하고 베이글도 맛있어요!,,,1,,,1,,,,
대존 맛,,,,,,,,,,1
아침에 오니까 종류가 많아서 좋네요,,,,,,,,,1,
베이글 맛집이라 예전부터 와 보고 싶었는데 드디어 와 봤어요 친절하시구 매장도 예뻐서 오전인데도 불구하고 사람이 많네요,,,1,1,,1,,,,
다음엔 베이글 좋아하는 친구와 같이 와야겠어요!,,,,,,,,,,1
오픈 깨부터 자주 왔어요!!,,,,,,,,,,1
정말 맛있어서 시청 쪽 올 때마다 들려요!!,,,,,,,,,,1
여기는 무조건 들러야합니다.,,,,,,,,,,1
다 맛있어요.,,,,,,,,,,1
오늘은 늦게 가서 연어 베이글은 못 먹었어요.,,,1,,,,,,,
잠 봉도 맛나고 꼭 드셔 보시길!!,,,1,,,,,,,
베이글이 맛있어용,,,1,,,,,,,
베이글 종류 많고 카페 이쁨.,,,1,,,1,,,,
베이글 맛있음.,,,1,,,,,,,
수제 크림치즈들도 있어서 넘 좋아용,,,1,,,,,,,
아침에 먹기 딱 좋아서 제주 여행 왔다가 맛나게 먹고 갑니당,,,,,,,,,,1
장소 접근성도 좋고 매장도 깔끔하고 친절하세요,,,,1,,1,1,,,
포장해서 서울까지 들고 왔네요,,,,,,,,,,1
회전율이 좋은 거 같아요,,,,,,,,,,1
포장 주문 빨리 나와용!,,,,,,,,,,1
너무 맛있어요,,,,,,,,,,1
특히 시오 베이글이 맛있어요!!!!,,,1,,,,,,,
조 아요,,,,,,,,,,1
직원분도 친절하고 가게도 이쁘고 깔끔해요.,,,,1,,1,,,,
메뉴도 다양하고 오랜만에 맛있는 베이글 먹을 수 있어서 너무 좋아요,,,1,,,,,,,
외국 분들도 많이 오시는 듯,,,,,,,,,,1
아주 좋네요,,,,,,,,,,1
맛난 빵 잘 구입해서 갑니다,,,1,,,,,,,
즐겁게 먹을게요.,,,,,,,,,,1
감사합니다.,,,,,,,,,,1
매장도 청결하고 친절하셔요,,,,1,,1,,,,
여행 와서 아침으로 아주 딱입니다,,,,,,,,,,1
베이글도 맛있구 커피도 맛있네용,,1,1,,,,,,,
우연히 알게 된 찐 맛집이에요.,,,,,,,,,,1
다 맛있어요.,,,,,,,,,,1
담백하니 맛있습니다,,,,,,,,,,1
잠봉뵈르도 맛있어요 크림치즈가 맛있어서 포장도 추가!!,,,1,,,,,,,
크림 치즈 맛이 여러 가지라 뭘 먹을지 고르는 것이 재미있습니다,,,1,,,,,,,
못 먹어 본 거 담에 무야지,,,,,,,,,,1
매장이 깔끔하고 친절합니다.,,,,1,,1,,,,
다 맛있어 보이네요,,,,,,,,,,1
특히 쑥 베이글은 매번 먹는 메뉴 중 하느에요!!,,,1,,,,,,,
라떼도 꼭!! 드세요,,1,,,,,,,,
친절하고 베이글도 맛있어요,,,1,1,,,,,,
유명한 블루 메 베이글!,,,1,,,,,,,
치킨크렌베리 샌드위치도 맛있고,,,1,,,,,,,
양송이 스프는 속을 따뜻하게 해 주네요!,,,1,,,,,,,
커피와 시오 베이글도 궁합 짱이네요,,,1,,,,,,,
다양한 베이글에 크림치즈까지 맛까지 다 함 주말 주차 무료니 참고하세용,,,1,,,,,1,,
매장도 이쁘고 베이글 종류랑 크림치즈 종류도 많고 맛있어요!!,,,1,,,1,,,,
베이글 맛집 인정합니다!!,,,1,,,,,,,
음료도 맛있어요,,1,,,,,,,,
베이글 진짜 맛있어 보여요,,,1,,,,,,,
다음에 제주도 오면 또 올래요,,,,,,,,,,1
근처에 이런 곳이 있었다니 단골 예약!,,,,,,,,,,1
생각했던 것보다 규모가 엄청 크고 베이글 종류도 넘 많아서 조아요!,,,1,,,1,,,,
무엇보다 맛있어서 좋아요!,,,,,,,,,,1
베이글 너무 맛있게 잘 먹었습니당!,,,1,,,,,,,
베이글 종류가 진짜 많고 크림 치즈가 대박이예요,,,1,,,,,,,
만족했습니다,,,,,,,,,,1
빵이 너무 맛나쇼,,,1,,,,,,,
이렇게 촉촉한 베이글 처음 먹어 봤는데 진짜 맛 잇네요,,,1,,,,,,,
또 또 올려고 회원 만들었어요,,,,,,,,,,1
직원 분들이 너무 친절하세요,,,,1,,,,,,
베이글 잘 안 먹는 데 여기는 맛있어서 자주 오려구요,,,1,,,,,,,
분위기가 좋고 맛있어요,,,,,,1,,,,
너무 친절하고 좋아요,,,,1,,,,,,
일찍 왔는데도 사람이 많아요!,,,,,,,,,,1
그만큼 인기가 많다는 거겟죠?,,,,,,,,,,1
제주도 온다면 또 올게요,,,,,,,,,,1
매장 바로 옆에 주차장 있어서 참 좋아요.,,,,,,,,1,,
수제 베이글 너무 먹고 싶었는 데 제주 와서 먹을 수 있어 기뻐요.,,,1,,,,,,,
화이트 톤으로 깨끗하고 직원 분들 친절하세요.,,,,1,,1,,,,
양송이슾.,,,1,,,,,,,
베이글 쫀득해서 맛있어요,,,1,,,,,,,
실물 영접,,,,,,,,,,1
설렘 신남,,,,,,,,,,1
베이글 맛집이네요,,,1,,,,,,,
외관도 예쁘고 크림치즈 선택지도 많고 베이글 종류도 많아서 좋았어요,,,1,,,1,,,,
베이글 최고,,,1,,,,,,,
평일 오후에 방문했는 데도 품절인 베이글과 크림치즈가 꽤 있어서 아쉽긴하지만 다음에는 더 빨리 방문해서 종류별로 맛 보고 싶어요!!,,,1,,,,,,,
잠봉뵈르 베이글은 처음 먹어 보는 데 진짜 맛있어용,,,1,,,,,,,
다음에 또 올게요!,,,,,,,,,,1
색다른 베이글이 많고 인테리어도 이뻐요,,,1,,,1,,,,
크림치즈 종류가 많아서 좋아요,,,1,,,,,,,
베이글 쫀득하니 넘 맛있네요!!,,,1,,,,,,,
비 오는 날에 따듯한 스프 먹으니까 몸도 풀리고 좋아요!,,,1,,,,,,,
베이글 찐 맛집..,,,1,,,,,,,
이거 먹으려고 여기까지 왔다..,,,,,,,,,,1
공항 도착하자마자 오픈 시간 맞취서 바로 달려왔어요,,,,,,,,,,1
연어 샌드위치 넘 맛있는 데 베이글 자체만으로도 쫀득쫀득 너무 맛있네요,,,1,,,,,,,
오늘 첫 방문인데 제주도 올 때마다 들려 봐야겠어요,,,,,,,,,,1
베이글 넘 맛있어요 늦게 와서 원하던 베이글은 못 먹었지만 직원분도 친절하시고 매장도 넘 귀여워요 맛있어서 또 오고 싶어요,,,1,1,,1,,,,
분위기 좋구 감성적이에 옹!!,,,,,,1,,,,
빵이랑 크림치즈 종류도 많아서 조아욤 굿굿,,,1,,,,,,,
근처 이비인후과 왔다가 연관 검색으로 떠서 호기심에 포장 주문하러 들어왔는데 기대 이상의 맛집을 발견했네요.,,,,,,,,,,1
다음에 또 올게요.,,,,,,,,,,1
폴드포크 샌드위치 품절 너무 아쉬워요,,,,,,,,,,1
너무 너무 맛있을 것 같아요 친절하시고 가게 분위기도 너무너무 좋네요!!,,,,1,,1,,,,
제주시에서 먹어 본 베이글 중 쵝오!!!,,,1,,,,,,,
직원 분들 모두 친절하시고 모닝 얼리버드 할인도 챙겨 주셔서 좋았어요,,,,1,,,,,,
테이크 아웃으로 먹긴했지만 다음부터는 앉아서 먹고 가고 싶네요!,,,,,,,,,,1
먹어 본 분들의 리뷰를 보고 찾아온 곳입니다.,,,,,,,,,,1
연어 베이글 샌드위치와 시오 베이글 양송이 크림 수프에 파 크림치즈를 시켜 봤습니다. 맛이 없는 것이 하나도 없어요.!!,,,1,,,,,,,
오픈하자마자 와서 사고 싶은 맛 다 구매했어요!,,,,,,,,,,1
다양한 맛이 있어 좋고 직원분도 너무 친절하고 인테리어도 너무 이쁘네요,,,,1,,1,,,,
엄청 맛있어요!,,,,,,,,,,1
베이글하고 크림치즈 너무 맛있어요,,,1,,,,,,,
포장해서 가요,,,,,,,,,,1
한 달에 두 번 이상은 꼭 방문하는 곳이에요,,,,,,,,,,1
제주 베이글 맛집!!,,,1,,,,,,,
라떼도 꼭 드세요 너무 맛있어요,,1,,,,,,,,
베이글 스프 맛있어요,,,1,,,,,,,
